Module	Section	Sample Name	Source
mosdepth	genome_results	AU01_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU01_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU03_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU03_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU04_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU04_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU06_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU06_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU08_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU08_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU09_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU09_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU13_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU13_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU14_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU14_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU17_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU17_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU20_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU20_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU21_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU21_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU23_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU23_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU24_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU24_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU25_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU25_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU27_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU27_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU28_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU28_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU29_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU29_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU30_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU30_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	AU33_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/AU33_markdup_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	bSteHir1_markdup_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/fairy_bam/markdup/bSteHir1_markdup_markdup.mosdepth.region.dist.txt
